umeta_id,user_id,meta_key,meta_value
"4884","36","twitter",""
"4885","36","facebook",""
"4886","36","publicemail",""
"4880","303","_yoast_wpseo_profile_updated","1477709363"
"4879","303","dismissed_wp_pointers",""
"4843","302","last_name",""
"4844","302","description",""
"4845","302","rich_editing","true"
"4846","302","comment_shortcuts","false"
"4847","302","admin_color","fresh"
"4848","302","use_ssl","0"
"4849","302","show_admin_bar_front","true"
"4850","302","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"4851","302","wp_user_level","0"
"4852","302","dismissed_wp_pointers",""
"4853","302","_yoast_wpseo_profile_updated","1477709363"
"4854","302","pending","1"
"4855","302","joined","2015-08-26 14:01:42"
"4856","33","googleplus",""
"4857","33","twitter",""
"4858","33","facebook",""
"4859","33","publicemail",""
"4860","33","position",""
"4861","33","instagram",""
"4862","34","googleplus",""
"4863","34","twitter",""
"4864","34","facebook",""
"4865","34","publicemail",""
"4866","34","position",""
"4867","34","instagram",""
"4868","303","nickname","Abhinay Vardhan"
"4869","303","first_name",""
"4870","303","last_name",""
"4871","303","description",""
"4872","303","rich_editing","true"
"4873","303","comment_shortcuts","false"
"4874","303","admin_color","fresh"
"4875","303","use_ssl","0"
"4876","303","show_admin_bar_front","true"
"4877","303","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"4878","303","wp_user_level","0"
"4842","302","first_name",""
"4838","31","publicemail",""
"4839","31","position",""
"4840","31","instagram",""
"4841","302","nickname","Cela Love"
"4834","30","instagram",""
"4835","31","googleplus",""
"4836","31","twitter",""
"4837","31","facebook",""
"95","5","nickname","Stephen Cotton"
"96","5","first_name","Stephen"
"97","5","last_name","Cotton"
"98","5","description",""
"99","5","rich_editing","true"
"100","5","comment_shortcuts","false"
"101","5","admin_color","fresh"
"102","5","use_ssl","0"
"103","5","show_admin_bar_front","true"
"104","5","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"106","5","dismissed_wp_pointers",""
"107","5","_yoast_wpseo_profile_updated","1493297799"
"7302","7","acf_user_settings","a:0:{}"
"7303","6","bp_follow_has_notified","a:5:{i:0;i:7;i:1;i:178;i:2;i:391;i:3;i:395;i:4;i:169;}"
"7441","1","wpseo_title",""
"7442","1","wpseo_metadesc",""
"109","5","last_activity","2017-04-27 12:57:18"
"110","5","itsec_user_activity_last_seen","1493297838"
"111","1","closedpostboxes_science","a:1:{i:0;s:10:""wpseo_meta"";}"
"112","1","metaboxhidden_science","a:1:{i:0;s:7:""slugdiv"";}"
"113","1","closedpostboxes_guest-author","a:1:{i:0;s:10:""wpseo_meta"";}"
"114","1","metaboxhidden_guest-author","a:1:{i:0;s:23:""acf-group_5808da85be256"";}"
"7290","1","wp_media_library_mode","list"
"5737","139","googleplus",""
"5736","138","instagram",""
"7288","1","bp_follow_has_notified","a:8:{i:0;i:6;i:1;i:5;i:2;i:7;i:3;i:376;i:4;i:383;i:5;i:169;i:6;i:134;i:7;i:429;}"
"7289","1","acf_user_settings","a:1:{s:15:""show_field_keys"";s:1:""1"";}"
"115","6","nickname","Stephanie Fine Sasse, EdM"
"116","6","first_name","Stephanie"
"117","6","last_name","Fine Sasse, EdM"
"118","6","description","Stephanie is Executive &amp; Creative Director of The People?s Science, a non-profit organization committed to engaging STEM learners and cultivating an informed citizenry. Previously, she developed educational technology and public exhibits for Oregon Health &amp; Science University, where she was also trained in developmental neuroscience research. She continued her post-bac training in psychology and neuroscience at Harvard University from 2012-2016, through which she has co-authored over a dozen academic presentations.

She has taught and developed multimedia curriculum for Harvard Graduate School of Education, Harvard Faculty of Arts &amp; Sciences, Emerson College, and Portland State University. In 2015, she received a Spark Grant Award from Harvard Initiative for Learning and Teaching for her work developing scientific literacy skills in undergraduate students.

Stephanie has an Ed.M. in Mind, Brain, and Education studies from the Harvard Graduate School of Education (HGSE), where she was selected as the 2013 Leadership in Education Award recipient. Alongside her work in education and technology, Stephanie is a contributing writer at the Learning &amp; The Brain blog."
"119","6","rich_editing","true"
"120","6","comment_shortcuts","false"
"121","6","admin_color","fresh"
"122","6","use_ssl","0"
"123","6","show_admin_bar_front","true"
"124","6","wp_capabilities","a:1:{s:13:""administrator"";b:1;}"
"125","6","wp_user_level","10"
"126","6","dismissed_wp_pointers","bpge_tuts,bpge_vote"
"127","6","_yoast_wpseo_profile_updated","1490812759"
"5734","138","publicemail",""
"5735","138","position",""
"5733","138","facebook",""
"5732","138","twitter",""
"5729","329","pending","1"
"5730","329","joined","2014-03-30 16:42:37"
"9212","411","nickname","Marshall Tyler"
"7133","376","nickname","rcalcott"
"7134","376","first_name","Rebecca"
"7135","376","last_name","Calcott"
"7136","376","description",""
"7137","376","rich_editing","true"
"128","5","bp_favorite_activities","a:1:{i:0;s:2:""10"";}"
"129","5","total_friend_count","1"
"130","1","total_friend_count","1"
"131","6","wpseo_title",""
"132","6","wpseo_metadesc",""
"133","6","wpseo_metakey",""
"134","6","wpseo_excludeauthorsitemap",""
"135","6","wpseo_content_analysis_disable",""
"136","6","wpseo_keyword_analysis_disable",""
"137","6","cb_show_author",""
"138","6","cb_order","0"
"139","6","googleplus",""
"140","6","twitter","@thescientish"
"141","6","facebook",""
"142","6","publicemail",""
"143","6","position",""
"144","6","instagram",""
"217","10","nickname","David Kelley, PhD"
"218","10","first_name","David"
"219","10","last_name","Kelley, PhD"
"220","10","description",""
"221","10","rich_editing","true"
"222","10","comment_shortcuts","false"
"223","10","admin_color","fresh"
"146","6","itsec_user_activity_last_seen","1510075182"
"147","6","last_activity","2017-11-07 17:19:41"
"5731","138","googleplus",""
"5728","329","_yoast_wpseo_profile_updated","1477709365"
"7287","1","first_login_detected","1"
"5727","329","dismissed_wp_pointers",""
"148","6","wp_dashboard_quick_press_last_post_id","2659"
